name,fan_cost,ac_count,room_count,link_count 
house0434,3264444.44444,1.0,5.0,6.0 
house0435,3351111.11111,1.0,3.0,2.0 
house0436,3784444.44444,1.0,8.0,11.0 
house0437,3091111.11111,1.0,4.0,4.0 
house0438,3351111.11111,2.0,6.0,7.0 
house0439,5315555.55556,3.0,7.0,7.0 
house0440,4217777.77778,1.0,8.0,9.0 
house0441,10400000.0,2.0,7.0,6.0 
house0442,3524444.44444,2.0,9.0,9.0 
house0443,5344444.44444,1.0,7.0,8.0 
house0444,4362222.22222,1.0,6.0,6.0 
house0445,3004444.44444,1.0,3.0,3.0 
house0446,3004444.44444,1.0,3.0,3.0 
house0447,3437777.77778,1.0,5.0,5.0 
house0448,3264444.44444,3.0,9.0,11.0 
house0449,3524444.44444,1.0,7.0,8.0 
house0450,3755555.55556,3.0,8.0,11.0 
house0451,10400000.0,2.0,5.0,2.0 
house0452,3351111.11111,1.0,5.0,6.0 
house0453,5893333.33333,1.0,8.0,9.0 
house0454,10400000.0,2.0,9.0,8.0 
house0455,3611111.11111,1.0,6.0,7.0 
house0456,4737777.77778,2.0,6.0,4.0 
house0457,3697777.77778,1.0,6.0,7.0 
house0458,3871111.11111,1.0,6.0,7.0 
house0459,5315555.55556,3.0,8.0,8.0 
house0460,3351111.11111,1.0,6.0,7.0 
house0461,3842222.22222,1.0,5.0,5.0 
house0462,3004444.44444,2.0,7.0,9.0 
house0463,3322222.22222,2.0,6.0,6.0 
house0464,3177777.77778,1.0,4.0,5.0 
house0465,5315555.55556,1.0,5.0,4.0 
house0466,4131111.11111,1.0,5.0,5.0 
house0467,10400000.0,3.0,7.0,4.0 
house0468,3524444.44444,3.0,9.0,10.0 
house0469,3351111.11111,2.0,6.0,7.0 
house0470,5315555.55556,2.0,6.0,6.0 
house0471,3264444.44444,1.0,5.0,6.0 
house0472,4217777.77778,2.0,6.0,5.0 
house0473,3177777.77778,2.0,6.0,8.0 
house0474,10400000.0,1.0,6.0,5.0 
house0475,3004444.44444,2.0,6.0,9.0 
house0476,2773333.33333,2.0,5.0,6.0 
house0477,10400000.0,3.0,7.0,5.0 
house0478,3697777.77778,1.0,7.0,9.0 
house0479,3004444.44444,1.0,3.0,3.0 
house0480,3177777.77778,3.0,8.0,10.0 
house0481,5315555.55556,1.0,6.0,5.0 
house0482,5546666.66667,2.0,6.0,6.0 
house0483,2802222.22222,2.0,9.0,12.0 
house0484,5315555.55556,1.0,7.0,8.0 
house0485,3264444.44444,1.0,3.0,2.0 
house0486,3264444.44444,2.0,7.0,9.0 
house0487,3264444.44444,1.0,4.0,4.0 
house0488,3177777.77778,2.0,5.0,4.0 
house0489,3524444.44444,2.0,5.0,6.0 
house0490,5084444.44444,3.0,10.0,8.0 
house0491,10400000.0,1.0,7.0,7.0 
house0492,3611111.11111,1.0,4.0,3.0 
house0493,10400000.0,2.0,5.0,2.0 
house0494,5315555.55556,3.0,8.0,9.0 
house0495,3524444.44444,2.0,6.0,7.0 
house0496,3611111.11111,1.0,7.0,9.0 
house0497,10400000.0,2.0,5.0,2.0 
house0498,3784444.44444,1.0,6.0,6.0 
house0499,3524444.44444,1.0,7.0,8.0 
house0500,3351111.11111,4.0,10.0,11.0 
house0501,2773333.33333,2.0,5.0,6.0 
house0502,10400000.0,2.0,7.0,8.0 
house0503,3697777.77778,2.0,7.0,8.0 
house0504,10400000.0,1.0,6.0,6.0 
house0505,3524444.44444,3.0,7.0,7.0 
house0506,3177777.77778,2.0,6.0,6.0 
house0507,4391111.11111,2.0,6.0,4.0 
house0508,4044444.44444,1.0,5.0,5.0 
house0509,10400000.0,1.0,8.0,8.0 
house0510,3264444.44444,2.0,6.0,6.0 
house0511,3437777.77778,2.0,7.0,8.0 
house0512,3611111.11111,1.0,5.0,6.0 
house0513,10400000.0,1.0,5.0,3.0 
house0514,5315555.55556,2.0,8.0,9.0 
house0515,3611111.11111,2.0,7.0,9.0 
house0516,2773333.33333,2.0,5.0,6.0 
house0517,3437777.77778,2.0,7.0,8.0 
house0518,3697777.77778,2.0,7.0,9.0 
house0519,3437777.77778,1.0,7.0,10.0 
house0520,10400000.0,2.0,6.0,3.0 
house0521,10400000.0,2.0,6.0,2.0 
house0522,3957777.77778,1.0,8.0,8.0 
house0523,3437777.77778,2.0,6.0,7.0 
house0524,2773333.33333,3.0,8.0,11.0 
house0525,5315555.55556,1.0,5.0,4.0 
house0526,3351111.11111,2.0,7.0,8.0 
house0527,3437777.77778,1.0,7.0,7.0 
house0528,4535555.55556,1.0,4.0,4.0 
house0529,3091111.11111,1.0,4.0,5.0 
house0530,3264444.44444,1.0,5.0,6.0 
house0531,3091111.11111,1.0,4.0,5.0 
house0532,2773333.33333,3.0,7.0,8.0 
house0533,5315555.55556,3.0,8.0,7.0 
house0534,3264444.44444,1.0,5.0,6.0 
house0535,3611111.11111,1.0,6.0,7.0 
house0536,4304444.44444,3.0,8.0,10.0 
house0537,3004444.44444,2.0,6.0,6.0 
house0538,5633333.33333,1.0,5.0,6.0 
house0539,3611111.11111,2.0,5.0,4.0 
house0540,10400000.0,1.0,4.0,2.0 
house0541,3264444.44444,3.0,7.0,8.0 
house0542,3524444.44444,1.0,4.0,4.0 
house0543,10400000.0,3.0,8.0,5.0 
house0544,3437777.77778,1.0,6.0,7.0 
house0545,3524444.44444,2.0,6.0,5.0 
house0546,5315555.55556,4.0,10.0,9.0 
house0547,3091111.11111,1.0,3.0,2.0 
house0548,3091111.11111,2.0,6.0,7.0 
house0549,3177777.77778,2.0,7.0,10.0 
house0550,2802222.22222,1.0,3.0,3.0 
house0551,3524444.44444,2.0,7.0,9.0 
house0552,3351111.11111,1.0,5.0,6.0 
house0553,2773333.33333,2.0,5.0,4.0 
house0554,2802222.22222,3.0,8.0,9.0 
house0555,3437777.77778,2.0,5.0,5.0 
house0556,3004444.44444,3.0,9.0,11.0 
house0557,3697777.77778,1.0,3.0,2.0 
house0558,5315555.55556,1.0,5.0,5.0 
house0559,2917777.77778,1.0,4.0,5.0 
house0560,3437777.77778,1.0,5.0,6.0 
house0561,5315555.55556,1.0,8.0,9.0 
house0562,3264444.44444,2.0,6.0,6.0 
house0563,3524444.44444,1.0,6.0,7.0 
house0564,3611111.11111,1.0,9.0,10.0 
house0565,3177777.77778,1.0,5.0,5.0 
house0566,10400000.0,1.0,4.0,2.0 
house0567,3264444.44444,1.0,6.0,6.0 
house0568,4391111.11111,1.0,9.0,11.0 
house0569,3351111.11111,2.0,6.0,7.0 
house0570,5315555.55556,1.0,8.0,9.0 
house0571,10400000.0,3.0,7.0,5.0 
house0572,3437777.77778,1.0,6.0,7.0 
house0573,3611111.11111,1.0,5.0,7.0 
